B28009B_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009B_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009B_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28009C_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009C_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009C_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28009D_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009D_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009D_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28009E_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009E_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009E_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28009F_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009F_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009F_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28009G_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009G_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009G_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28009H_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009H_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009H_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28009I_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28009I_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28009I_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28011_002E	Estimate!!Total:!!With an Internet subscription
B28011_003E	Estimate!!Total:!!With an Internet subscription!!Dial-up alone
B28011_004E	Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL
B28011_005E	Estimate!!Total:!!With an Internet subscription!!Satellite Internet service
B28011_006E	Estimate!!Total:!!With an Internet subscription!!Other service
B28011_007E	Estimate!!Total:!!Internet access without a subscription
B28011_008E	Estimate!!Total:!!No Internet access
B28012_005E	Estimate!!Total:!!Population 3 and older!!Enrolled in school:!!Pre-K to 4th Grade!!Has a computer and internet subscription
B28012_008E	Estimate!!Total:!!Population 3 and older!!Enrolled in school:!!5th to 8th Grade!!Has a computer and internet subscription
B28012_011E	Estimate!!Total:!!Population 3 and older!!Enrolled in school:!!9th to 12th Grade!!Has a computer and internet subscription
B28012_014E	Estimate!!Total:!!Population 3 and older!!Enrolled in school:!!Undergraduate or Higher!!Has a computer and internet subscription
B28012_017E	Estimate!!Total:!!Population 3 and older!!Not Enrolled in school:!!Has a computer and internet subscription
B28012_020E	Estimate!!Total:!!Population 2 and under:!!Has a computer and internet subscription
B28001_002E	Estimate!!Total:!!Has one or more types of computing devices:
B28001_003E	Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop
B28001_004E	Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop with no other type of computing device
B28001_005E	Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone
B28001_006E	Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone!!Smartphone with no other type of computing device
B28001_007E	Estimate!!Total:!!Has one or more types of computing devices:!!Tablet or other portable wireless computer
B28001_008E	Estimate!!Total:!!Has one or more types of computing devices:!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device
B28001_009E	Estimate!!Total:!!Has one or more types of computing devices:!!Other computer
B28001_010E	Estimate!!Total:!!Has one or more types of computing devices:!!Other computer!!Other computer with no other type of computing device
B28010_002E	Estimate!!Total:!!Has one or more types of computing devices:
B28010_003E	Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop
B28010_004E	Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone
B28010_005E	Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer
B28010_006E	Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer!!Smartphone, tablet or other portable wireless computer or other computer, no desktop or laptop
