NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 1.03, Doña Ana County, New Mexico",1412,10,32,0,0,105,14,0,14,1426,24,32,0,0,105,1096,477,1081,19,37,35,013,000103,1,2015
"Block Group 3, Census Tract 12.03, Doña Ana County, New Mexico",1326,177,46,21,0,57,23,23,0,1326,177,69,21,0,80,538,1112,1398,14,52,35,013,001203,3,2015
"Block Group 3, Census Tract 12.05, Doña Ana County, New Mexico",1043,35,0,75,0,23,0,0,0,1043,35,0,75,0,23,550,626,1062,22,49,35,013,001205,3,2015
"Block Group 2, Census Tract 12.05, Doña Ana County, New Mexico",720,14,0,0,0,17,0,0,0,720,14,0,0,0,17,322,429,586,0,17,35,013,001205,2,2015
"Block Group 2, Census Tract 3.04, Curry County, New Mexico",711,68,136,163,0,0,0,0,0,711,68,136,163,0,0,187,891,979,20,41,35,009,000304,2,2015
"Block Group 3, Census Tract 3.04, Curry County, New Mexico",1450,79,47,28,0,36,19,0,19,1469,79,47,47,0,36,90,1569,1098,0,15,35,009,000304,3,2015
"Block Group 4, Census Tract 3.04, Curry County, New Mexico",1428,16,0,0,0,117,59,0,59,1475,28,47,12,0,117,356,1264,1207,20,30,35,009,000304,4,2015
"Block Group 2, Census Tract 6.02, Curry County, New Mexico",989,2,10,0,0,75,8,0,8,997,2,18,0,0,75,156,928,741,3,4,35,009,000602,2,2015
"Block Group 3, Census Tract 6.02, Curry County, New Mexico",1994,106,44,31,0,60,83,0,83,2077,175,44,45,0,60,382,1936,1175,0,0,35,009,000602,3,2015
"Block Group 1, Census Tract 6.01, Curry County, New Mexico",654,0,42,0,0,4,0,0,0,654,0,42,0,0,4,30,670,532,0,15,35,009,000601,1,2015
