NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 1.07, Bernalillo County, New Mexico",1267,0,115,13,0,12,73,44,29,1340,0,134,23,0,56,262,1218,1283,18,63,35,001,000107,1,2021
"Block Group 2, Census Tract 1.07, Bernalillo County, New Mexico",878,0,16,22,0,64,30,18,12,908,0,28,22,0,82,265,745,825,0,0,35,001,000107,2,2021
"Block Group 1, Census Tract 1.08, Bernalillo County, New Mexico",546,49,25,34,0,143,43,6,37,589,49,52,44,0,152,192,648,675,0,23,35,001,000108,1,2021
"Block Group 2, Census Tract 1.08, Bernalillo County, New Mexico",1542,0,68,56,0,19,60,23,37,1602,0,72,89,0,42,365,1380,1418,0,0,35,001,000108,2,2021
"Block Group 1, Census Tract 1.09, Bernalillo County, New Mexico",933,21,22,0,0,14,202,184,18,1135,21,26,14,0,202,334,858,969,180,41,35,001,000109,1,2021
"Block Group 2, Census Tract 1.09, Bernalillo County, New Mexico",816,70,194,15,0,31,116,39,77,932,111,194,51,0,94,457,785,950,0,9,35,001,000109,2,2021
"Block Group 1, Census Tract 1.10, Bernalillo County, New Mexico",1187,10,38,8,0,191,333,266,67,1520,38,38,47,0,457,737,1030,1473,0,8,35,001,000110,1,2021
"Block Group 2, Census Tract 1.10, Bernalillo County, New Mexico",1271,7,29,73,28,0,42,37,5,1313,7,29,78,28,37,316,1134,1214,23,27,35,001,000110,2,2021
"Block Group 3, Census Tract 1.10, Bernalillo County, New Mexico",475,0,0,0,0,110,68,49,19,543,0,0,0,19,159,265,388,488,33,20,35,001,000110,3,2021
"Block Group 1, Census Tract 1.11, Bernalillo County, New Mexico",1578,93,32,8,0,89,294,119,175,1872,202,86,20,0,208,595,1499,1474,26,20,35,001,000111,1,2021
"Block Group 2, Census Tract 1.11, Bernalillo County, New Mexico",635,22,0,44,0,0,490,490,0,1125,22,0,44,0,490,617,574,947,37,26,35,001,000111,2,2021
"Block Group 1, Census Tract 1.12, Bernalillo County, New Mexico",1017,46,0,109,0,26,123,86,37,1130,46,37,114,5,135,224,1097,1138,0,20,35,001,000112,1,2021
"Block Group 2, Census Tract 1.12, Bernalillo County, New Mexico",536,11,8,0,0,15,149,40,109,685,96,27,11,0,55,218,501,538,0,0,35,001,000112,2,2021
"Block Group 1, Census Tract 1.13, Bernalillo County, New Mexico",1636,23,161,46,16,127,151,28,123,1726,97,222,95,16,155,703,1457,1606,0,7,35,001,000113,1,2021
"Block Group 2, Census Tract 1.13, Bernalillo County, New Mexico",662,294,6,0,9,114,113,50,63,763,294,62,19,9,164,305,893,1035,8,15,35,001,000113,2,2021
"Block Group 1, Census Tract 1.14, Bernalillo County, New Mexico",1260,5,276,33,0,28,409,209,200,1669,5,458,51,0,361,958,1053,1586,76,27,35,001,000114,1,2021
