NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 103.10, Santa Fe County, New Mexico",0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,25,42,104,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010310,2018
"Census Tract 103.11, Santa Fe County, New Mexico",0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,120,15,257,96,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,049,010311,2018
"Census Tract 103.12, Santa Fe County, New Mexico",0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,202,67,0,262,78,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,35,049,010312,2018
"Census Tract 103.14, Santa Fe County, New Mexico",0,17,25,38,0,0,0,0,0,19,36,0,0,0,0,0,0,120,43,5,155,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,049,010314,2018
"Census Tract 103.15, Santa Fe County, New Mexico",7,14,21,0,0,0,0,0,0,0,0,0,0,9,0,0,0,141,43,24,320,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010315,2018
"Census Tract 103.16, Santa Fe County, New Mexico",18,5,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,140,35,20,149,60,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010316,2018
"Census Tract 106.01, Santa Fe County, New Mexico",545,104,24,0,0,0,0,0,0,41,87,48,0,0,0,0,0,241,112,45,395,182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,35,049,010601,2018
"Census Tract 106.02, Santa Fe County, New Mexico",0,95,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,402,133,65,377,121,0,0,0,0,0,0,0,0,0,24,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,35,049,010602,2018
"Census Tract 106.03, Santa Fe County, New Mexico",0,43,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,176,32,9,124,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010603,2018
"Census Tract 109, Santa Fe County, New Mexico",0,26,33,10,0,0,0,0,0,93,39,0,0,0,0,0,0,260,107,8,238,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010900,2018
"Census Tract 9404, Santa Fe County, New Mexico",0,415,0,2,0,0,0,0,3,17,36,0,0,2,0,0,0,66,14,17,35,17,0,0,0,0,0,0,16,10,1,12,15,3,0,0,0,0,0,0,2,0,0,1,0,0,8,1,35,049,940400,2018
"Census Tract 9405, Santa Fe County, New Mexico",0,452,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,61,32,7,72,33,0,0,0,0,4,0,32,4,2,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,8,35,049,940500,2018
"Census Tract 9406, Santa Fe County, New Mexico",0,441,15,3,0,0,0,0,0,47,26,0,0,1,0,0,0,110,55,32,118,54,0,0,0,0,0,0,7,5,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,35,049,940600,2018
