NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 9624.02, Sierra County, New Mexico",0,0,0,0,0,0,0,0,0,44,37,0,0,0,0,0,0,148,216,68,206,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,35,051,962402,2019
"Census Tract 9400, Taos County, New Mexico",0,266,27,0,0,0,0,3,0,10,0,0,0,0,0,0,0,85,64,19,89,74,0,0,0,0,0,0,20,7,0,31,4,2,0,0,0,0,0,0,0,0,0,0,0,0,12,5,35,055,940000,2019
"Census Tract 9401, Taos County, New Mexico",84,1398,27,5,0,0,0,0,0,218,23,4,0,0,0,0,0,512,196,39,709,238,0,0,0,0,0,0,41,35,21,64,44,28,0,0,0,13,0,0,0,0,0,0,0,0,39,4,35,055,940100,2019
"Census Tract 9636, Torrance County, New Mexico",315,27,50,0,0,0,0,0,0,58,67,0,0,0,0,0,0,410,209,46,431,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,057,963600,2019
"Census Tract 9502, Union County, New Mexico",648,86,23,0,0,0,0,0,0,53,6,0,0,1,0,0,0,151,84,74,212,149,5,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,35,059,950200,2019
"Census Tract 18.04, Doña Ana County, New Mexico",25,0,40,133,0,0,0,0,0,509,390,0,0,0,0,0,0,157,202,13,178,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,35,013,001804,2019
"Census Tract 13.03, Doña Ana County, New Mexico",134,9,202,0,0,0,0,0,0,166,39,0,0,0,0,0,0,425,296,28,552,291,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,013,001303,2019
"Census Tract 14, Doña Ana County, New Mexico",40,8,83,99,0,0,0,0,0,473,459,0,0,0,0,0,0,184,144,0,219,132,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,013,001400,2019
"Census Tract 15, Doña Ana County, New Mexico",1331,181,0,0,0,0,0,0,0,362,20,0,0,0,0,0,0,433,316,59,403,382,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,013,001500,2019
"Census Tract 17.05, Doña Ana County, New Mexico",0,0,15,56,0,0,0,0,0,356,299,0,0,0,0,0,0,135,31,24,111,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,35,013,001705,2019
"Census Tract 1.02, Doña Ana County, New Mexico",0,186,23,0,0,0,0,0,0,31,18,0,0,0,0,0,0,114,77,42,158,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,35,013,000102,2019
"Census Tract 1.03, Doña Ana County, New Mexico",0,45,32,0,0,0,0,0,0,388,151,0,0,0,0,0,0,116,85,18,97,121,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,35,013,000103,2019
