NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 13.01, Santa Fe County, New Mexico",0,31,0,0,0,0,0,2,0,0,43,13,0,51,17,0,44,0,0,48,0,0,35,049,001301,2020
"Census Tract 13.02, Santa Fe County, New Mexico",0,3,0,0,1,0,0,0,0,0,8,2,11,12,0,0,45,31,1,7,20,0,35,049,001302,2020
"Census Tract 13.04, Santa Fe County, New Mexico",0,8,0,0,1,0,0,0,2,0,15,0,3,15,4,0,13,20,7,40,18,0,35,049,001304,2020
"Census Tract 13.05, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,162,24,0,175,22,0,22,21,0,44,33,0,35,049,001305,2020
"Census Tract 13.06, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,58,21,0,18,0,0,20,15,0,35,049,001306,2020
"Census Tract 101.02, Santa Fe County, New Mexico",0,32,21,0,20,0,0,0,0,0,124,34,3,110,186,1,81,62,0,72,50,0,35,049,010102,2020
"Census Tract 102.04, Santa Fe County, New Mexico",0,7,0,0,0,0,0,0,20,0,335,217,15,404,71,0,1,20,0,21,0,0,35,049,010204,2020
"Census Tract 102.05, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,95,50,6,80,54,0,17,0,0,14,35,0,35,049,010205,2020
"Census Tract 103.04, Santa Fe County, New Mexico",0,0,6,0,0,3,0,4,0,0,251,168,71,317,101,58,119,0,0,54,6,0,35,049,010304,2020
"Census Tract 103.08, Santa Fe County, New Mexico",0,21,0,0,6,42,0,6,0,11,77,49,0,56,118,16,62,33,0,47,3,20,35,049,010308,2020
"Census Tract 103.09, Santa Fe County, New Mexico",0,0,0,0,12,0,0,0,0,0,159,58,39,172,8,5,25,0,0,22,0,24,35,049,010309,2020
"Census Tract 103.10, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,113,13,12,141,8,0,7,0,0,14,0,0,35,049,010310,2020
"Census Tract 103.11, Santa Fe County, New Mexico",0,0,0,0,0,0,70,0,56,120,363,113,0,255,78,14,12,0,70,0,56,155,35,049,010311,2020
"Census Tract 103.12, Santa Fe County, New Mexico",0,16,0,0,0,0,0,3,0,0,148,73,0,169,79,12,34,0,0,28,0,0,35,049,010312,2020
"Census Tract 103.15, Santa Fe County, New Mexico",0,0,0,0,5,0,0,8,9,0,155,63,24,322,67,41,21,0,8,55,57,8,35,049,010315,2020
"Census Tract 103.16, Santa Fe County, New Mexico",0,5,0,0,11,0,7,8,0,0,138,8,8,150,58,20,39,19,23,36,20,7,35,049,010316,2020
"Census Tract 103.17, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,28,0,0,50,6,5,0,0,0,0,0,0,35,049,010317,2020
"Census Tract 103.18, Santa Fe County, New Mexico",0,12,0,0,0,0,51,1,0,0,64,15,0,109,5,0,38,20,51,68,6,0,35,049,010318,2020
"Census Tract 104, Santa Fe County, New Mexico",0,8,16,0,0,4,0,1,0,0,376,228,31,464,219,83,9,9,0,18,34,0,35,049,010400,2020
"Census Tract 105, Santa Fe County, New Mexico",0,0,0,0,7,0,0,17,0,0,163,88,29,235,81,19,43,21,3,147,19,33,35,049,010500,2020
"Census Tract 106.01, Santa Fe County, New Mexico",0,27,0,0,0,0,0,0,4,0,344,96,84,463,248,5,75,22,0,94,4,0,35,049,010601,2020
"Census Tract 106.02, Santa Fe County, New Mexico",0,0,0,0,18,0,0,22,0,0,321,139,29,320,155,29,55,10,0,52,0,0,35,049,010602,2020
"Census Tract 106.03, Santa Fe County, New Mexico",0,7,0,0,0,0,0,0,0,0,104,10,8,66,22,0,44,11,10,58,11,0,35,049,010603,2020
"Census Tract 107.01, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,413,177,62,324,135,38,32,13,0,66,0,0,35,049,010701,2020
"Census Tract 107.02, Santa Fe County, New Mexico",0,0,0,0,0,0,0,20,0,0,185,33,21,186,55,13,0,0,0,0,0,0,35,049,010702,2020
"Census Tract 108, Santa Fe County, New Mexico",0,24,0,0,12,0,0,136,81,0,219,124,0,219,76,0,55,26,25,243,122,36,35,049,010800,2020
"Census Tract 109, Santa Fe County, New Mexico",0,27,0,0,9,0,50,10,0,0,224,64,16,177,74,0,40,18,0,37,37,0,35,049,010900,2020
