NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 2, Census Tract 37.29, Bernalillo County, New Mexico",921,0,23,9,0,14,5,0,5,926,0,28,9,0,14,111,861,881,0,0,35,001,003729,2,2016
"Block Group 1, Census Tract 46.03, Bernalillo County, New Mexico",382,2,0,0,0,175,8,0,8,390,2,0,8,0,175,473,94,491,0,5,35,001,004603,1,2016
"Block Group 3, Census Tract 46.03, Bernalillo County, New Mexico",1611,17,207,8,0,333,30,0,30,1641,17,237,8,0,346,1783,423,1678,22,49,35,001,004603,3,2016
"Block Group 2, Census Tract 46.03, Bernalillo County, New Mexico",378,0,0,0,0,428,0,0,0,378,0,0,0,0,428,604,202,609,0,12,35,001,004603,2,2016
"Block Group 1, Census Tract 47.16, Bernalillo County, New Mexico",1581,8,97,71,0,256,73,0,73,1654,33,115,101,30,256,901,1185,1786,34,24,35,001,004716,1,2016
"Block Group 2, Census Tract 47.22, Bernalillo County, New Mexico",592,0,23,0,20,21,18,0,18,610,0,41,0,20,21,361,313,633,0,0,35,001,004722,2,2016
"Block Group 3, Census Tract 30.01, Bernalillo County, New Mexico",721,77,48,0,0,461,0,0,0,721,77,48,0,0,461,1079,228,908,7,16,35,001,003001,3,2016
"Block Group 4, Census Tract 30.01, Bernalillo County, New Mexico",858,7,0,0,0,336,14,14,0,872,7,0,0,0,350,882,333,954,18,20,35,001,003001,4,2016
"Block Group 2, Census Tract 30.01, Bernalillo County, New Mexico",679,0,93,0,0,179,58,10,48,737,0,132,9,0,189,592,417,717,15,7,35,001,003001,2,2016
"Block Group 3, Census Tract 9436, McKinley County, New Mexico",13,0,1080,0,0,0,28,2,26,39,0,1108,0,0,10,13,1108,737,7,9,35,031,943600,3,2016
"Block Group 2, Census Tract 9436, McKinley County, New Mexico",46,30,1529,0,3,11,33,0,33,66,43,1562,0,3,11,15,1637,1185,10,0,35,031,943600,2,2016
"Block Group 1, Census Tract 9436, McKinley County, New Mexico",2,0,709,17,0,0,0,0,0,2,0,709,17,0,0,6,722,495,0,13,35,031,943600,1,2016
"Block Group 6, Census Tract 9436, McKinley County, New Mexico",4,2,1020,0,0,0,12,2,10,16,2,1030,0,0,2,11,1027,752,2,1,35,031,943600,6,2016
"Block Group 2, Census Tract 9452, McKinley County, New Mexico",148,0,304,0,0,0,35,0,35,183,0,339,0,0,0,10,477,436,0,0,35,031,945200,2,2016
"Block Group 3, Census Tract 9452, McKinley County, New Mexico",1180,13,796,0,13,352,209,0,209,1389,13,1005,0,13,352,1391,1172,1482,0,77,35,031,945200,3,2016
"Block Group 3, Census Tract 9456, McKinley County, New Mexico",173,10,387,0,0,27,0,0,0,173,10,387,0,0,27,269,328,406,5,0,35,031,945600,3,2016
"Block Group 2, Census Tract 9456, McKinley County, New Mexico",490,0,1228,59,0,261,59,59,0,490,0,1287,59,0,320,787,1310,1352,46,0,35,031,945600,2,2016
"Block Group 3, Census Tract 9435, McKinley County, New Mexico",93,5,1416,16,5,2,11,0,11,104,5,1427,16,5,2,23,1525,1150,3,0,35,031,943500,3,2016
"Block Group 5, Census Tract 3, Chaves County, New Mexico",1069,15,70,0,0,117,45,45,0,1114,15,70,0,0,162,738,578,918,0,41,35,005,000300,5,2016
"Block Group 4, Census Tract 3, Chaves County, New Mexico",879,62,19,58,31,11,17,0,17,890,73,19,70,31,11,225,852,806,0,13,35,005,000300,4,2016
"Block Group 1, Census Tract 13, Chaves County, New Mexico",1159,3,0,0,0,236,4,4,0,1163,3,0,0,0,240,1028,374,943,3,9,35,005,001300,1,2016
"Block Group 2, Census Tract 14, Chaves County, New Mexico",903,0,0,0,0,234,1,1,0,904,0,0,0,0,235,756,382,820,8,0,35,005,001400,2,2016
"Block Group 1, Census Tract 14, Chaves County, New Mexico",1423,0,6,0,0,242,9,2,7,1430,7,6,0,2,244,1052,628,1182,18,10,35,005,001400,1,2016
"Block Group 1, Census Tract 9636, Torrance County, New Mexico",1066,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,298,768,795,0,0,35,057,963600,1,2016
"Block Group 4, Census Tract 9636, Torrance County, New Mexico",1015,0,0,0,0,0,43,0,43,1058,2,0,41,0,0,319,739,818,0,0,35,057,963600,4,2016
"Block Group 2, Census Tract 9637, Torrance County, New Mexico",1881,10,37,5,0,75,0,0,0,1881,10,37,5,0,75,1042,966,1535,16,15,35,057,963700,2,2016
"Block Group 1, Census Tract 9637, Torrance County, New Mexico",347,0,3,0,0,12,4,0,4,351,0,7,0,0,12,246,120,311,7,2,35,057,963700,1,2016
"Block Group 1, Census Tract 9644, Grant County, New Mexico",746,0,125,7,0,0,65,65,0,746,0,125,72,0,65,681,262,593,0,0,35,017,964400,1,2016
"Block Group 2, Census Tract 9644, Grant County, New Mexico",1343,0,47,0,0,26,16,14,2,1345,2,61,0,0,40,737,695,1183,0,25,35,017,964400,2,2016
"Block Group 1, Census Tract 9576, San Miguel County, New Mexico",1066,0,0,0,0,1057,38,38,0,1104,0,0,0,0,1095,1644,517,1775,0,0,35,047,957600,1,2016
"Block Group 1, Census Tract 9764, Catron County, New Mexico",1546,0,8,0,0,0,13,0,13,1559,0,21,0,0,0,322,1245,1402,0,0,35,003,976400,1,2016
