NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 1.07, Bernalillo County, New Mexico",0,0,0,0,5,19,0,22,17,0,171,112,8,269,50,43,42,42,0,23,17,20,35,001,000107,2021
"Census Tract 1.08, Bernalillo County, New Mexico",0,0,0,0,0,0,0,6,11,0,81,40,0,109,57,0,22,34,0,6,32,0,35,001,000108,2021
"Census Tract 1.09, Bernalillo County, New Mexico",0,12,3,0,9,9,163,11,4,0,109,31,17,119,37,50,49,9,163,48,7,0,35,001,000109,2021
"Census Tract 1.10, Bernalillo County, New Mexico",0,21,0,0,12,0,0,0,0,0,59,46,48,309,57,28,36,9,8,37,13,27,35,001,000110,2021
"Census Tract 1.11, Bernalillo County, New Mexico",0,0,0,0,1,0,0,1,7,0,97,38,63,60,33,46,15,6,0,4,24,0,35,001,000111,2021
"Census Tract 1.12, Bernalillo County, New Mexico",0,0,15,0,6,9,0,0,1,0,84,65,0,140,84,20,16,1,0,22,15,0,35,001,000112,2021
"Census Tract 1.13, Bernalillo County, New Mexico",0,0,6,0,0,9,0,0,8,0,40,76,8,125,91,22,9,9,0,8,14,0,35,001,000113,2021
"Census Tract 1.14, Bernalillo County, New Mexico",0,0,0,0,0,0,31,80,6,0,72,18,19,98,41,17,21,9,57,44,6,19,35,001,000114,2021
"Census Tract 1.15, Bernalillo County, New Mexico",0,9,0,0,19,0,0,0,7,10,71,36,32,149,55,15,36,30,9,56,8,18,35,001,000115,2021
"Census Tract 1.16, Bernalillo County, New Mexico",0,11,0,0,5,0,0,16,11,0,135,92,18,130,88,11,20,23,0,49,23,0,35,001,000116,2021
"Census Tract 1.17, Bernalillo County, New Mexico",49,6,0,0,0,1,0,1,13,0,145,68,15,78,62,22,12,19,49,12,8,5,35,001,000117,2021
"Census Tract 1.18, Bernalillo County, New Mexico",0,0,9,0,2,0,0,0,23,0,142,55,0,91,52,13,2,10,0,0,32,3,35,001,000118,2021
"Census Tract 1.19, Bernalillo County, New Mexico",0,0,0,0,0,5,0,0,5,0,122,24,34,84,47,15,16,5,13,5,13,0,35,001,000119,2021
