NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 1.07, Bernalillo County, New Mexico",0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,126,8,289,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,9,35,001,000107,2021
"Census Tract 1.08, Bernalillo County, New Mexico",31,93,9,0,0,0,9,0,0,0,0,0,0,10,0,0,0,93,64,0,109,78,0,0,0,0,0,8,0,10,0,0,0,0,10,18,0,9,0,15,0,0,0,0,0,0,10,0,35,001,000108,2021
"Census Tract 1.09, Bernalillo County, New Mexico",23,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,31,17,144,37,3,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,35,001,000109,2021
"Census Tract 1.10, Bernalillo County, New Mexico",0,67,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,55,56,325,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000110,2021
"Census Tract 1.11, Bernalillo County, New Mexico",14,32,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,111,44,63,63,40,9,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,35,001,000111,2021
"Census Tract 1.12, Bernalillo County, New Mexico",8,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,100,65,0,162,84,0,0,0,6,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0,0,0,0,0,0,5,0,35,001,000112,2021
"Census Tract 1.13, Bernalillo County, New Mexico",0,167,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,76,8,133,91,0,9,0,12,0,0,18,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000113,2021
"Census Tract 1.14, Bernalillo County, New Mexico",8,276,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,85,27,45,111,41,1,0,0,0,0,0,8,25,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000114,2021
"Census Tract 1.15, Bernalillo County, New Mexico",20,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,66,41,196,63,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000115,2021
"Census Tract 1.16, Bernalillo County, New Mexico",12,214,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,115,18,152,100,0,17,0,11,0,0,23,0,0,13,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,35,001,000116,2021
