NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 3, Census Tract 10.02, Santa Fe County, New Mexico",1629,0,7,0,0,65,41,21,20,1649,0,48,0,0,86,1574,168,1177,22,8,35,049,001002,3,2018
"Block Group 2, Census Tract 104, Santa Fe County, New Mexico",1742,0,0,44,0,150,16,0,16,1758,0,16,44,0,159,375,1577,1685,31,40,35,049,010400,2,2018
"Block Group 2, Census Tract 11.03, Santa Fe County, New Mexico",439,9,42,4,0,26,8,0,8,447,9,42,4,8,26,214,314,433,0,10,35,049,001103,2,2018
"Block Group 2, Census Tract 6, Santa Fe County, New Mexico",1107,0,53,0,0,0,14,14,0,1121,0,53,0,0,14,387,787,971,13,14,35,049,000600,2,2018
"Block Group 2, Census Tract 4, Luna County, New Mexico",934,0,56,0,0,4,0,0,0,934,0,56,0,0,4,560,434,745,0,0,35,029,000400,2,2018
"Block Group 2, Census Tract 9453, McKinley County, New Mexico",335,5,645,6,0,287,140,41,99,424,52,748,6,0,362,905,513,1019,20,36,35,031,945300,2,2018
"Block Group 1, Census Tract 107.16, Sandoval County, New Mexico",1893,11,7,81,0,137,24,0,24,1908,20,31,81,0,137,477,1676,1891,55,211,35,043,010716,1,2018
"Block Group 2, Census Tract 9, Santa Fe County, New Mexico",1598,0,33,11,0,34,48,13,35,1633,29,52,11,0,47,977,747,1463,0,25,35,049,000900,2,2018
"Block Group 1, Census Tract 9586.02, Quay County, New Mexico",805,3,0,18,19,39,56,26,30,861,3,0,48,19,65,301,639,758,0,0,35,037,958602,1,2018
"Block Group 3, Census Tract 2, Los Alamos County, New Mexico",1524,0,0,126,0,0,0,0,0,1524,0,0,126,0,0,318,1332,1057,23,0,35,028,000200,3,2018
"Block Group 2, Census Tract 9431, San Juan County, New Mexico",34,0,966,2,0,0,85,25,60,94,0,1051,2,0,25,30,1057,837,7,10,35,045,943100,2,2018
"Block Group 1, Census Tract 6, Santa Fe County, New Mexico",916,0,0,25,0,7,18,0,18,934,18,0,25,0,7,241,725,817,10,14,35,049,000600,1,2018
"Block Group 5, Census Tract 7.07, Bernalillo County, New Mexico",2062,63,27,0,0,358,14,0,14,2076,63,41,0,0,358,1925,599,1970,20,22,35,001,000707,5,2018
"Block Group 1, Census Tract 9742.02, Cibola County, New Mexico",221,0,318,0,0,116,28,10,18,244,0,341,0,0,126,140,543,504,0,0,35,006,974202,1,2018
"Block Group 4, Census Tract 4, Chaves County, New Mexico",1446,10,17,0,0,113,0,0,0,1446,10,17,0,0,113,1198,388,1132,0,0,35,005,000400,4,2018
"Block Group 2, Census Tract 38.05, Bernalillo County, New Mexico",745,0,0,0,0,249,123,104,19,764,0,19,104,0,353,731,386,899,8,23,35,001,003805,2,2018
"Block Group 4, Census Tract 9643, Grant County, New Mexico",835,38,0,0,0,0,0,0,0,835,38,0,0,0,0,380,493,743,0,0,35,017,964300,4,2018
"Block Group 1, Census Tract 9624.02, Sierra County, New Mexico",1368,0,0,0,0,39,48,15,33,1416,0,33,0,0,54,742,713,1064,10,11,35,051,962402,1,2018
