NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 10.02, Santa Fe County, New Mexico",0,0,13,0,0,0,0,0,0,7,95,21,9,33,52,54,64,20,9,92,97,15,35,049,001002,2017
"Census Tract 104, Santa Fe County, New Mexico",0,0,8,0,0,7,0,0,0,0,281,130,34,259,202,57,25,0,18,19,8,0,35,049,010400,2017
"Census Tract 11.03, Santa Fe County, New Mexico",0,10,6,0,0,0,0,0,0,0,44,11,0,73,5,11,26,33,0,69,31,11,35,049,001103,2017
"Census Tract 6, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,100,20,18,147,99,9,40,8,8,8,8,17,35,049,000600,2017
"Census Tract 9502, Union County, New Mexico",0,4,0,10,0,0,0,3,1,0,130,79,32,157,99,64,69,29,4,68,42,16,35,059,950200,2017
"Census Tract 9781, Socorro County, New Mexico",0,0,6,0,0,0,0,0,0,0,216,69,0,91,88,0,155,55,101,179,53,10,35,053,978100,2017
"Census Tract 9783.01, Socorro County, New Mexico",0,9,0,0,0,0,0,0,0,0,69,31,8,72,47,21,34,50,14,73,51,28,35,053,978301,2017
"Census Tract 9783.03, Socorro County, New Mexico",0,15,15,0,0,0,0,0,0,0,45,29,0,124,6,65,59,4,4,38,67,18,35,053,978303,2017
"Census Tract 9783.02, Socorro County, New Mexico",0,0,0,0,5,0,0,0,0,0,48,25,12,55,37,8,52,6,4,29,0,18,35,053,978302,2017
"Census Tract 9782, Socorro County, New Mexico",0,0,0,0,0,0,0,0,0,0,98,13,86,102,16,20,31,12,0,23,17,28,35,053,978200,2017
"Census Tract 3, Roosevelt County, New Mexico",0,0,0,0,0,0,0,5,0,0,102,21,37,134,48,48,0,2,0,2,0,0,35,041,000300,2017
"Census Tract 2, Roosevelt County, New Mexico",0,38,57,30,0,0,0,0,0,0,42,23,24,56,46,12,90,26,0,51,82,43,35,041,000200,2017
"Census Tract 1, Roosevelt County, New Mexico",0,0,0,0,0,0,0,0,0,0,212,34,86,124,159,70,0,0,0,20,0,0,35,041,000100,2017
