NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 9704.01, Valencia County, New Mexico",0,7,0,0,0,18,0,12,24,0,71,0,17,115,99,0,171,52,12,91,83,0,35,061,970401,2015
"Census Tract 14, Doña Ana County, New Mexico",0,9,0,0,0,5,0,0,0,0,83,39,0,89,17,7,81,34,19,113,42,8,35,013,001400,2015
"Census Tract 15, Doña Ana County, New Mexico",0,14,0,0,0,0,0,0,0,0,548,139,40,487,131,41,19,0,4,80,0,23,35,013,001500,2015
"Census Tract 16, Doña Ana County, New Mexico",0,11,0,18,0,0,0,12,0,0,11,70,0,17,25,0,40,14,15,70,106,58,35,013,001600,2015
"Census Tract 17.01, Doña Ana County, New Mexico",0,18,0,0,11,0,0,10,0,0,74,47,10,79,76,0,98,44,0,55,66,0,35,013,001701,2015
"Census Tract 17.02, Doña Ana County, New Mexico",0,0,6,0,0,0,0,0,0,0,20,11,9,23,21,5,29,42,0,49,29,0,35,013,001702,2015
"Census Tract 17.03, Doña Ana County, New Mexico",11,18,7,10,0,0,0,0,0,0,49,31,0,43,37,10,88,8,24,112,21,10,35,013,001703,2015
"Census Tract 17.05, Doña Ana County, New Mexico",8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,95,45,60,55,50,43,35,013,001705,2015
"Census Tract 18.01, Doña Ana County, New Mexico",0,30,0,0,0,0,0,0,0,0,56,12,0,23,15,14,182,79,117,193,67,0,35,013,001801,2015
"Census Tract 18.02, Doña Ana County, New Mexico",32,8,0,0,0,0,0,0,0,0,41,13,0,42,7,0,154,104,32,223,27,22,35,013,001802,2015
"Census Tract 18.04, Doña Ana County, New Mexico",0,0,0,0,0,0,0,0,0,0,105,95,4,136,76,17,172,74,0,108,63,22,35,013,001804,2015
"Census Tract 19, Doña Ana County, New Mexico",0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,35,013,001900,2015
"Census Tract 1.02, Doña Ana County, New Mexico",0,45,0,0,9,8,0,0,0,0,135,41,4,152,66,9,69,47,0,89,58,20,35,013,000102,2015
"Census Tract 3, Doña Ana County, New Mexico",7,15,0,0,0,0,0,9,0,0,77,45,0,78,41,32,74,20,40,102,67,0,35,013,000300,2015
"Census Tract 4.01, Doña Ana County, New Mexico",7,29,17,0,0,0,0,6,0,0,24,34,0,19,11,11,105,58,22,144,107,0,35,013,000401,2015
"Census Tract 4.02, Doña Ana County, New Mexico",0,34,30,0,19,0,0,0,0,0,34,57,52,81,47,12,73,114,32,173,206,16,35,013,000402,2015
"Census Tract 5, Doña Ana County, New Mexico",0,9,0,0,0,0,0,0,0,0,80,11,0,39,7,24,64,20,34,49,31,18,35,013,000500,2015
"Census Tract 6, Doña Ana County, New Mexico",0,16,39,0,0,0,0,8,0,0,9,7,0,12,24,25,105,68,5,156,66,11,35,013,000600,2015
"Census Tract 7, Doña Ana County, New Mexico",0,13,13,0,0,13,0,30,0,0,28,27,11,66,80,25,72,37,0,123,65,0,35,013,000700,2015
"Census Tract 8, Doña Ana County, New Mexico",0,0,4,0,10,0,0,0,0,0,16,40,8,24,44,0,16,22,4,13,72,28,35,013,000800,2015
"Census Tract 9, Doña Ana County, New Mexico",0,0,15,0,0,0,0,0,0,0,50,14,0,59,69,28,71,54,19,49,93,55,35,013,000900,2015
"Census Tract 10, Doña Ana County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,35,013,001000,2015
"Census Tract 11.02, Doña Ana County, New Mexico",0,6,0,0,0,0,0,6,0,0,95,24,16,51,29,28,63,12,24,74,70,9,35,013,001102,2015
"Census Tract 47.43, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,11,0,39,8,0,8,0,0,15,0,0,25,20,0,35,001,004743,2015
"Census Tract 47.44, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,91,24,0,76,13,0,52,9,0,63,0,0,35,001,004744,2015
"Census Tract 29, Bernalillo County, New Mexico",20,41,23,0,0,0,0,0,0,0,55,20,0,85,18,12,117,56,20,110,44,0,35,001,002900,2015
"Census Tract 30.01, Bernalillo County, New Mexico",0,13,0,18,24,6,0,6,0,0,119,29,65,118,65,38,172,52,0,162,11,28,35,001,003001,2015
"Census Tract 1.28, Bernalillo County, New Mexico",0,69,0,0,0,0,0,0,0,0,104,24,41,104,67,35,34,8,0,119,24,9,35,001,000128,2015
"Census Tract 1.21, Bernalillo County, New Mexico",0,3,7,0,0,0,0,0,0,0,134,155,46,352,145,160,63,7,5,88,66,36,35,001,000121,2015
"Census Tract 1.23, Bernalillo County, New Mexico",0,35,0,0,0,0,0,0,0,0,79,91,49,106,66,104,31,0,20,114,33,15,35,001,000123,2015
"Census Tract 5.01, Bernalillo County, New Mexico",0,0,51,0,0,0,0,0,0,0,65,35,23,89,63,81,70,20,0,52,60,0,35,001,000501,2015
"Census Tract 37.35, Bernalillo County, New Mexico",0,33,0,27,0,0,0,0,0,0,201,42,36,112,81,17,107,19,0,124,44,41,35,001,003735,2015
"Census Tract 37.36, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,24,10,21,38,12,46,29,0,0,41,0,5,35,001,003736,2015
"Census Tract 5.02, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,3,119,27,112,123,125,203,14,0,3,22,3,0,35,001,000502,2015
"Census Tract 37.37, Bernalillo County, New Mexico",0,0,0,0,8,0,0,8,0,0,130,79,13,131,55,39,29,0,0,0,0,0,35,001,003737,2015
"Census Tract 37.38, Bernalillo County, New Mexico",9,29,0,0,0,8,0,0,0,9,163,204,63,146,201,94,61,8,9,49,0,9,35,001,003738,2015
"Census Tract 47.34, Bernalillo County, New Mexico",0,24,0,0,0,0,0,2,0,0,19,28,0,21,28,0,137,0,43,39,15,0,35,001,004734,2015
