NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 37.37, Bernalillo County, New Mexico",0,10,0,0,8,0,0,8,0,0,184,62,8,173,29,71,33,0,0,42,0,11,35,001,003737,2018
"Census Tract 37.38, Bernalillo County, New Mexico",0,44,0,0,0,11,0,0,0,8,180,79,61,180,108,90,94,27,0,76,0,8,35,001,003738,2018
"Census Tract 47.34, Bernalillo County, New Mexico",0,81,48,13,0,0,0,10,0,0,0,0,0,28,0,0,89,0,0,121,61,13,35,001,004734,2018
"Census Tract 47.35, Bernalillo County, New Mexico",0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,23,13,11,94,16,6,35,001,004735,2018
"Census Tract 47.36, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,28,0,9,0,0,35,001,004736,2018
"Census Tract 47.33, Bernalillo County, New Mexico",0,92,0,0,0,12,0,0,0,0,0,0,0,14,0,16,39,0,0,217,0,33,35,001,004733,2018
"Census Tract 47.37, Bernalillo County, New Mexico",0,4,15,0,9,5,0,0,0,0,36,0,0,23,0,4,36,50,0,54,45,7,35,001,004737,2018
"Census Tract 47.38, Bernalillo County, New Mexico",0,82,0,0,0,0,0,0,0,0,26,11,0,12,14,0,61,16,0,140,0,11,35,001,004738,2018
"Census Tract 47.39, Bernalillo County, New Mexico",0,11,0,0,0,0,0,10,0,0,37,0,0,38,66,0,65,31,0,52,0,0,35,001,004739,2018
"Census Tract 47.40, Bernalillo County, New Mexico",0,0,21,0,0,0,0,0,0,0,46,0,0,50,14,18,132,17,22,64,84,0,35,001,004740,2018
"Census Tract 47.41, Bernalillo County, New Mexico",0,65,0,0,39,0,0,16,0,40,103,109,18,29,13,15,189,0,0,184,79,68,35,001,004741,2018
"Census Tract 47.42, Bernalillo County, New Mexico",11,8,0,0,8,15,0,22,15,0,133,22,11,149,50,0,92,78,22,61,25,10,35,001,004742,2018
"Census Tract 9586.02, Quay County, New Mexico",0,14,0,0,0,0,0,12,0,0,79,49,9,103,18,8,111,13,16,88,26,23,35,037,958602,2018
"Census Tract 9586.01, Quay County, New Mexico",9,32,0,0,0,0,0,0,0,0,79,107,17,123,130,19,62,0,16,80,58,15,35,037,958601,2018
"Census Tract 9, Chaves County, New Mexico",0,10,0,0,0,0,0,0,0,0,98,29,42,92,86,96,47,11,0,30,14,0,35,005,000900,2018
"Census Tract 12, Chaves County, New Mexico",0,0,0,0,0,0,0,0,6,0,52,20,5,81,16,6,2,0,8,0,0,16,35,005,001200,2018
"Census Tract 4, Chaves County, New Mexico",0,10,0,0,24,0,0,0,0,0,100,44,9,106,32,9,10,32,0,148,62,0,35,005,000400,2018
"Census Tract 3, Chaves County, New Mexico",0,19,0,0,0,0,0,21,0,0,217,67,59,257,68,82,90,39,68,126,63,24,35,005,000300,2018
"Census Tract 13, Chaves County, New Mexico",0,0,0,0,3,0,0,0,4,0,20,28,3,20,26,30,43,14,0,70,55,9,35,005,001300,2018
"Census Tract 14, Chaves County, New Mexico",0,0,3,2,0,3,0,0,5,0,63,34,0,49,26,2,18,16,7,29,34,2,35,005,001400,2018
"Census Tract 6, Chaves County, New Mexico",0,31,0,0,0,0,0,0,8,0,30,39,9,16,24,18,193,33,0,127,89,17,35,005,000600,2018
"Census Tract 7, Chaves County, New Mexico",0,16,0,0,0,0,0,0,0,0,75,68,13,103,95,36,79,15,8,70,48,10,35,005,000700,2018
"Census Tract 8, Chaves County, New Mexico",0,0,0,0,0,0,0,13,0,0,85,90,49,83,175,77,137,9,0,59,27,0,35,005,000800,2018
"Census Tract 5, Chaves County, New Mexico",0,26,14,0,0,0,0,0,0,0,9,9,9,27,43,10,9,0,14,48,14,0,35,005,000500,2018
"Census Tract 3, Lea County, New Mexico",0,7,0,6,0,0,0,11,0,0,31,49,0,9,31,11,33,25,0,21,31,6,35,025,000300,2018
"Census Tract 6, Lea County, New Mexico",22,0,22,0,0,0,0,0,0,0,59,62,50,207,98,83,95,57,26,51,144,2,35,025,000600,2018
"Census Tract 9, Lea County, New Mexico",0,0,0,0,0,0,0,0,0,0,57,29,20,52,36,0,39,39,10,47,17,17,35,025,000900,2018
"Census Tract 8, Lea County, New Mexico",0,0,0,0,0,0,0,0,0,0,75,55,17,104,27,7,3,0,0,18,23,0,35,025,000800,2018
"Census Tract 10.03, Lea County, New Mexico",0,5,0,12,22,0,0,8,0,0,70,53,34,75,173,11,29,11,0,32,23,12,35,025,001003,2018
"Census Tract 1, Lea County, New Mexico",0,16,0,0,0,0,0,0,0,0,15,0,0,8,37,14,39,46,0,58,0,0,35,025,000100,2018
"Census Tract 4, Lea County, New Mexico",0,24,0,0,0,0,0,0,0,0,9,11,0,17,12,12,38,36,0,80,35,0,35,025,000400,2018
"Census Tract 2, Lea County, New Mexico",0,5,0,0,1,0,0,0,0,0,58,22,0,13,33,0,102,9,5,65,42,0,35,025,000200,2018
"Census Tract 11, Lea County, New Mexico",0,0,0,0,0,0,0,0,7,0,156,48,14,107,62,66,115,38,0,72,0,0,35,025,001100,2018
"Census Tract 5.02, Lea County, New Mexico",2,0,0,0,18,0,0,0,0,0,115,93,0,151,108,73,18,2,2,60,0,0,35,025,000502,2018
"Census Tract 9637, Torrance County, New Mexico",0,0,2,0,0,0,0,7,0,0,122,47,7,64,56,9,47,24,0,43,18,7,35,057,963700,2018
"Census Tract 9505, Colfax County, New Mexico",0,18,0,0,7,0,0,8,9,0,150,151,0,187,44,70,129,76,8,208,102,0,35,007,950500,2018
"Census Tract 9506, Colfax County, New Mexico",3,0,25,4,0,0,0,0,0,0,115,64,14,91,98,51,87,49,13,24,34,68,35,007,950600,2018
"Census Tract 9507, Colfax County, New Mexico",6,21,23,0,36,0,0,23,0,0,333,132,6,288,110,57,83,57,16,67,69,4,35,007,950700,2018
"Census Tract 9, Eddy County, New Mexico",0,5,0,8,10,10,0,9,0,0,149,104,34,132,99,0,31,85,10,34,14,38,35,015,000900,2018
"Census Tract 4.02, Eddy County, New Mexico",0,0,0,4,0,0,0,0,9,0,93,23,17,80,38,9,71,9,9,38,15,9,35,015,000402,2018
"Census Tract 2, Eddy County, New Mexico",0,0,0,0,0,0,0,0,0,0,246,130,45,274,202,101,39,12,9,35,0,0,35,015,000200,2018
"Census Tract 4.01, Eddy County, New Mexico",0,10,0,0,0,0,0,0,0,0,98,14,24,113,70,10,17,0,9,69,8,0,35,015,000401,2018
"Census Tract 9744, Cibola County, New Mexico",0,6,35,0,0,0,0,18,0,0,58,77,0,123,83,17,36,61,0,113,65,39,35,006,974400,2018
"Census Tract 9781, Socorro County, New Mexico",0,0,4,0,0,0,0,0,0,0,173,81,0,69,58,0,120,41,98,181,93,8,35,053,978100,2018
"Census Tract 9783.01, Socorro County, New Mexico",0,5,0,0,0,0,0,0,0,0,84,18,8,102,22,31,35,56,5,90,30,78,35,053,978301,2018
"Census Tract 9783.03, Socorro County, New Mexico",0,19,14,0,0,0,0,0,0,0,69,16,0,118,11,80,95,7,9,33,14,16,35,053,978303,2018
"Census Tract 9783.02, Socorro County, New Mexico",0,0,5,0,5,0,0,0,0,0,45,26,13,113,33,56,64,18,5,32,5,14,35,053,978302,2018
"Census Tract 9782, Socorro County, New Mexico",0,0,0,0,0,0,0,0,0,0,111,12,100,54,9,16,31,13,8,15,12,30,35,053,978200,2018
"Census Tract 3, Roosevelt County, New Mexico",0,0,0,0,0,0,0,4,0,0,96,46,28,109,56,47,0,7,0,4,0,0,35,041,000300,2018
"Census Tract 2, Roosevelt County, New Mexico",0,68,0,23,0,0,0,0,0,0,39,16,18,56,25,23,94,14,0,75,12,51,35,041,000200,2018
"Census Tract 1, Roosevelt County, New Mexico",0,83,19,0,9,0,0,0,11,0,155,25,27,65,138,40,96,0,0,92,19,0,35,041,000100,2018
"Census Tract 2, Los Alamos County, New Mexico",0,0,0,0,0,0,0,0,0,0,116,91,75,276,50,88,15,0,14,0,34,0,35,028,000200,2018
"Census Tract 1, Los Alamos County, New Mexico",0,0,0,0,0,0,0,14,0,0,173,114,26,178,79,25,7,8,0,0,9,0,35,028,000100,2018
"Census Tract 4, Los Alamos County, New Mexico",0,10,0,0,0,0,0,14,0,0,145,99,19,85,61,131,31,0,12,21,0,12,35,028,000400,2018
"Census Tract 5, Los Alamos County, New Mexico",0,0,18,0,0,0,0,0,0,0,338,93,32,240,120,54,40,30,0,47,52,0,35,028,000500,2018
"Census Tract 3, Rio Arriba County, New Mexico",44,0,78,54,0,0,0,0,0,0,70,35,0,65,0,0,234,91,66,138,137,54,35,039,000300,2018
"Census Tract 4, Rio Arriba County, New Mexico",9,104,70,5,40,0,0,42,0,4,20,0,11,106,56,0,216,141,9,191,139,9,35,039,000400,2018
"Census Tract 9408, Rio Arriba County, New Mexico",3,21,12,20,2,0,0,9,0,5,133,28,6,96,53,54,118,82,25,138,74,92,35,039,940800,2018
"Census Tract 2, Rio Arriba County, New Mexico",0,6,29,29,0,0,0,4,0,0,22,37,14,80,0,0,87,118,12,268,50,82,35,039,000200,2018
"Census Tract 9407, Rio Arriba County, New Mexico",1,28,30,10,2,15,16,0,0,0,55,5,20,81,25,36,80,64,44,110,116,43,35,039,940700,2018
"Census Tract 1, Rio Arriba County, New Mexico",32,12,25,0,0,0,0,0,0,0,60,0,0,28,11,0,206,25,32,64,34,0,35,039,000100,2018
"Census Tract 5, Rio Arriba County, New Mexico",32,67,48,0,0,0,0,0,0,0,164,71,18,82,49,19,163,44,43,154,107,0,35,039,000500,2018
"Census Tract 6, Luna County, New Mexico",0,10,6,0,0,0,0,0,0,0,12,21,0,17,0,0,102,41,18,57,97,6,35,029,000600,2018
"Census Tract 3, Luna County, New Mexico",0,17,0,0,0,0,0,0,0,0,37,100,0,52,93,48,75,25,22,52,69,21,35,029,000300,2018
"Census Tract 2, Luna County, New Mexico",0,12,12,0,0,0,0,0,0,0,70,162,26,83,185,0,44,13,0,67,83,31,35,029,000200,2018
"Census Tract 4, Luna County, New Mexico",0,0,0,0,0,0,0,0,0,0,185,78,27,284,69,19,129,30,6,142,34,22,35,029,000400,2018
