NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 103.12, Santa Fe County, New Mexico",1938,0,0,0,0,67,0,0,0,1938,0,0,0,0,67,411,1594,1650,0,0,35,049,010312,1,2017
"Block Group 1, Census Tract 103.10, Santa Fe County, New Mexico",1245,0,26,0,0,7,44,8,36,1289,0,58,4,0,15,369,953,1130,32,27,35,049,010310,1,2017
"Block Group 1, Census Tract 103.11, Santa Fe County, New Mexico",2855,8,17,0,0,33,152,0,152,3007,8,108,61,0,33,565,2500,2398,0,46,35,049,010311,1,2017
"Block Group 2, Census Tract 103.11, Santa Fe County, New Mexico",746,0,0,14,0,109,27,0,27,773,0,27,14,0,109,145,751,690,16,18,35,049,010311,2,2017
"Block Group 2, Census Tract 103.12, Santa Fe County, New Mexico",2363,0,0,18,0,68,33,0,33,2396,0,33,18,0,68,773,1709,1741,0,0,35,049,010312,2,2017
"Block Group 1, Census Tract 103.14, Santa Fe County, New Mexico",1841,6,22,24,0,85,53,14,39,1874,26,41,44,0,99,1112,919,1560,4,6,35,049,010314,1,2017
"Block Group 1, Census Tract 103.15, Santa Fe County, New Mexico",1581,18,16,108,0,34,49,24,25,1611,45,27,108,6,58,574,1232,1612,20,44,35,049,010315,1,2017
"Block Group 2, Census Tract 103.15, Santa Fe County, New Mexico",651,0,0,0,0,219,21,0,21,672,0,21,0,0,219,495,396,633,0,1,35,049,010315,2,2017
"Block Group 1, Census Tract 103.16, Santa Fe County, New Mexico",760,13,10,14,0,21,18,10,8,778,13,18,14,0,31,349,487,731,6,15,35,049,010316,1,2017
"Block Group 2, Census Tract 103.16, Santa Fe County, New Mexico",613,0,6,0,0,51,17,6,11,624,0,23,0,0,57,315,372,567,14,26,35,049,010316,2,2017
"Block Group 1, Census Tract 106.01, Santa Fe County, New Mexico",4677,43,216,442,0,396,74,44,30,4712,79,249,442,0,440,3116,2732,4590,50,58,35,049,010601,1,2017
"Block Group 1, Census Tract 106.02, Santa Fe County, New Mexico",1710,0,65,16,0,52,20,0,20,1730,0,85,16,0,52,236,1627,1708,53,29,35,049,010602,1,2017
"Block Group 2, Census Tract 106.02, Santa Fe County, New Mexico",1210,0,0,34,0,0,42,0,42,1252,0,0,76,0,0,248,1038,1087,18,0,35,049,010602,2,2017
"Block Group 1, Census Tract 106.03, Santa Fe County, New Mexico",1977,11,33,0,0,180,116,63,53,2093,23,74,0,0,243,1186,1131,1902,11,14,35,049,010603,1,2017
"Block Group 1, Census Tract 109, Santa Fe County, New Mexico",2547,11,51,32,0,85,77,31,46,2615,20,70,59,0,116,1481,1322,2283,25,0,35,049,010900,1,2017
"Block Group 1, Census Tract 9404, Santa Fe County, New Mexico",834,0,462,0,2,235,7,4,3,841,0,465,0,2,239,640,900,1188,18,10,35,049,940400,1,2017
"Block Group 1, Census Tract 9405, Santa Fe County, New Mexico",606,0,258,8,8,109,45,14,31,638,5,282,23,8,125,656,378,816,8,19,35,049,940500,1,2017
"Block Group 2, Census Tract 9405, Santa Fe County, New Mexico",327,0,203,0,0,56,17,9,8,339,0,216,0,0,65,417,186,456,0,5,35,049,940500,2,2017
"Block Group 1, Census Tract 9406, Santa Fe County, New Mexico",1200,10,384,10,4,303,76,54,22,1237,30,413,17,9,357,1274,713,1450,10,12,35,049,940600,1,2017
"Block Group 2, Census Tract 9406, Santa Fe County, New Mexico",649,4,34,5,0,119,38,32,6,676,5,45,10,0,151,643,206,669,11,16,35,049,940600,2,2017
"Block Group 3, Census Tract 9406, Santa Fe County, New Mexico",477,5,53,0,0,85,14,7,7,491,7,58,0,2,95,466,168,471,8,10,35,049,940600,3,2017
"Block Group 1, Census Tract 1.19, Bernalillo County, New Mexico",1041,34,0,6,0,35,29,0,29,1064,34,6,35,6,35,306,839,956,50,49,35,001,000119,1,2017
"Block Group 1, Census Tract 1.22, Bernalillo County, New Mexico",607,0,18,0,0,0,36,0,36,625,0,54,0,18,0,265,396,499,0,0,35,001,000122,1,2017
"Block Group 2, Census Tract 1.22, Bernalillo County, New Mexico",715,0,0,0,0,21,64,25,39,779,39,0,0,0,46,401,399,554,0,0,35,001,000122,2,2017
"Block Group 3, Census Tract 1.22, Bernalillo County, New Mexico",1326,0,0,148,0,0,21,0,21,1347,21,0,148,0,0,375,1120,1076,0,15,35,001,000122,3,2017
"Block Group 4, Census Tract 1.22, Bernalillo County, New Mexico",1084,49,9,152,0,155,0,0,0,1084,49,9,152,0,155,632,817,1291,36,98,35,001,000122,4,2017
"Block Group 3, Census Tract 1.25, Bernalillo County, New Mexico",694,26,13,68,0,42,28,28,0,710,38,13,68,0,70,265,606,766,0,0,35,001,000125,3,2017
"Block Group 1, Census Tract 1.27, Bernalillo County, New Mexico",308,2,46,0,0,52,8,8,0,316,2,46,0,0,60,83,333,348,2,12,35,001,000127,1,2017
"Block Group 2, Census Tract 1.27, Bernalillo County, New Mexico",756,0,68,14,0,220,100,74,26,856,0,81,27,0,294,546,612,920,11,9,35,001,000127,2,2017
"Block Group 3, Census Tract 1.27, Bernalillo County, New Mexico",762,26,199,11,14,223,12,0,12,774,38,199,11,14,223,327,920,1070,9,11,35,001,000127,3,2017
"Block Group 1, Census Tract 1.28, Bernalillo County, New Mexico",385,2,0,23,0,0,30,0,30,415,2,0,53,0,0,136,304,344,0,14,35,001,000128,1,2017
"Block Group 2, Census Tract 1.28, Bernalillo County, New Mexico",733,170,151,41,0,71,19,0,19,752,170,170,41,0,71,390,795,979,11,15,35,001,000128,2,2017
"Block Group 1, Census Tract 1.29, Bernalillo County, New Mexico",1339,90,58,101,0,223,54,0,54,1393,132,70,101,0,223,926,939,1396,0,29,35,001,000129,1,2017
"Block Group 1, Census Tract 2.05, Bernalillo County, New Mexico",442,32,43,14,0,6,65,0,65,507,62,78,14,0,6,242,360,574,0,0,35,001,000205,1,2017
"Block Group 2, Census Tract 2.05, Bernalillo County, New Mexico",560,0,0,0,0,0,0,0,0,560,0,0,0,0,0,340,220,396,6,12,35,001,000205,2,2017
"Block Group 3, Census Tract 2.05, Bernalillo County, New Mexico",836,0,138,0,0,91,0,0,0,836,0,138,0,0,91,673,392,831,15,11,35,001,000205,3,2017
"Block Group 1, Census Tract 5.01, Bernalillo County, New Mexico",1575,71,372,25,0,127,116,27,89,1683,122,392,51,0,163,815,1471,2036,16,17,35,001,000501,1,2017
"Block Group 2, Census Tract 5.01, Bernalillo County, New Mexico",602,9,24,16,0,177,23,23,0,625,9,24,16,0,200,505,346,624,28,95,35,001,000501,2,2017
"Block Group 1, Census Tract 5.02, Bernalillo County, New Mexico",1436,47,23,14,0,92,110,14,96,1546,90,106,27,0,106,375,1347,1516,49,11,35,001,000502,1,2017
"Block Group 2, Census Tract 5.02, Bernalillo County, New Mexico",1517,16,68,61,0,36,90,0,90,1604,19,69,147,3,36,376,1412,1716,34,101,35,001,000502,2,2017
"Block Group 3, Census Tract 5.02, Bernalillo County, New Mexico",919,45,17,22,0,93,106,0,106,1007,63,88,57,13,93,357,845,1077,40,26,35,001,000502,3,2017
"Block Group 1, Census Tract 6.04, Bernalillo County, New Mexico",859,0,37,0,0,226,7,0,7,866,0,37,7,0,226,800,329,806,23,34,35,001,000604,1,2017
"Block Group 2, Census Tract 6, Chaves County, New Mexico",409,0,57,0,0,97,10,10,0,409,0,57,10,0,107,485,88,376,0,29,35,005,000600,2,2017
"Block Group 3, Census Tract 6, Chaves County, New Mexico",614,0,23,0,0,74,0,0,0,614,0,23,0,0,74,557,154,594,7,0,35,005,000600,3,2017
"Block Group 2, Census Tract 7, Chaves County, New Mexico",1631,43,7,9,0,124,102,9,93,1724,43,7,111,0,133,881,1035,1392,6,0,35,005,000700,2,2017
"Block Group 3, Census Tract 7, Chaves County, New Mexico",1053,18,0,0,0,132,22,0,22,1075,31,9,0,0,132,703,522,1011,9,9,35,005,000700,3,2017
"Block Group 4, Census Tract 7, Chaves County, New Mexico",822,0,0,39,0,196,8,8,0,830,0,0,39,0,204,778,287,689,0,0,35,005,000700,4,2017
"Block Group 1, Census Tract 7, Chaves County, New Mexico",603,0,7,0,0,22,44,44,0,647,0,7,0,0,66,597,79,482,0,36,35,005,000700,1,2017
"Block Group 3, Census Tract 8, Chaves County, New Mexico",971,0,33,0,0,191,0,0,0,971,0,33,0,0,191,774,421,828,0,18,35,005,000800,3,2017
"Block Group 1, Census Tract 9507, Colfax County, New Mexico",831,26,13,0,0,182,49,7,42,880,26,55,0,0,189,532,569,940,6,6,35,007,950700,1,2017
"Block Group 3, Census Tract 9507, Colfax County, New Mexico",1422,4,14,0,0,21,2,0,2,1424,6,14,0,0,21,448,1015,1255,0,69,35,007,950700,3,2017
"Block Group 4, Census Tract 9507, Colfax County, New Mexico",671,10,17,0,0,134,24,3,21,695,10,38,0,0,137,502,354,662,0,13,35,007,950700,4,2017
"Block Group 2, Census Tract 9507, Colfax County, New Mexico",761,24,28,20,0,92,36,12,24,797,33,43,35,15,104,606,355,815,15,6,35,007,950700,2,2017
"Block Group 1, Census Tract 9, Eddy County, New Mexico",1177,0,0,0,0,138,26,0,26,1203,18,8,0,0,138,669,672,1140,11,0,35,015,000900,1,2017
"Block Group 2, Census Tract 9, Eddy County, New Mexico",1630,32,0,0,0,221,18,18,0,1630,32,18,0,0,239,831,1070,1493,5,29,35,015,000900,2,2017
"Block Group 4, Census Tract 4.02, Eddy County, New Mexico",825,42,36,0,0,79,72,72,0,855,42,78,0,0,151,471,583,726,7,0,35,015,000402,4,2017
"Block Group 4, Census Tract 2, Eddy County, New Mexico",1556,19,0,11,0,0,25,0,25,1581,44,0,11,0,0,395,1216,1176,9,24,35,015,000200,4,2017
"Block Group 2, Census Tract 2, Eddy County, New Mexico",759,0,20,0,0,33,0,0,0,759,0,20,0,0,33,352,460,602,10,9,35,015,000200,2,2017
"Block Group 3, Census Tract 2, Eddy County, New Mexico",1698,0,21,7,0,13,47,0,47,1745,0,57,18,0,13,446,1340,1465,24,32,35,015,000200,3,2017
"Block Group 1, Census Tract 2, Eddy County, New Mexico",1386,0,0,0,0,22,17,0,17,1386,0,0,17,17,22,269,1156,1111,9,32,35,015,000200,1,2017
"Block Group 2, Census Tract 4.01, Eddy County, New Mexico",1019,0,0,0,0,27,0,0,0,1019,0,0,0,0,27,404,642,776,0,0,35,015,000401,2,2017
"Block Group 1, Census Tract 4.01, Eddy County, New Mexico",1286,0,95,15,0,50,0,0,0,1286,0,95,15,0,50,445,1001,1128,8,0,35,015,000401,1,2017
"Block Group 3, Census Tract 4.01, Eddy County, New Mexico",816,0,0,0,0,61,19,0,19,835,0,19,0,0,61,441,455,662,24,0,35,015,000401,3,2017
"Block Group 5, Census Tract 11, Eddy County, New Mexico",1686,72,0,0,0,114,55,55,0,1686,127,0,0,0,169,854,1073,1309,0,35,35,015,001100,5,2017
"Block Group 1, Census Tract 7, Eddy County, New Mexico",1456,0,0,0,0,47,12,0,12,1468,12,0,0,0,47,887,628,1118,0,0,35,015,000700,1,2017
"Block Group 2, Census Tract 7, Eddy County, New Mexico",932,0,47,0,0,40,1,0,1,933,1,47,0,0,40,232,788,956,10,0,35,015,000700,2,2017
