NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 9624.02, Sierra County, New Mexico",0,17,0,0,0,0,0,53,0,20,128,216,68,206,101,38,39,0,0,17,25,0,35,051,962402,2019
"Census Tract 9400, Taos County, New Mexico",0,8,4,2,0,0,1,10,0,0,5,3,2,10,4,2,101,66,18,92,74,28,35,055,940000,2019
"Census Tract 9401, Taos County, New Mexico",0,30,10,0,14,0,0,7,4,0,364,101,23,521,162,60,203,95,16,221,90,36,35,055,940100,2019
"Census Tract 9636, Torrance County, New Mexico",0,9,19,0,12,0,0,24,0,0,263,170,25,377,211,0,147,49,21,63,70,0,35,057,963600,2019
"Census Tract 9502, Union County, New Mexico",0,4,0,6,0,0,0,9,18,0,127,42,63,161,113,52,45,47,11,72,49,17,35,059,950200,2019
"Census Tract 18.04, Doña Ana County, New Mexico",0,39,14,20,16,0,0,15,0,0,41,162,0,51,103,0,164,40,13,181,141,54,35,013,001804,2019
"Census Tract 13.03, Doña Ana County, New Mexico",0,0,0,0,0,0,0,0,0,0,237,147,0,258,105,26,188,149,28,294,186,24,35,013,001303,2019
"Census Tract 14, Doña Ana County, New Mexico",0,0,48,0,0,0,0,0,0,0,88,103,0,63,80,8,96,41,0,156,100,37,35,013,001400,2019
"Census Tract 15, Doña Ana County, New Mexico",0,0,0,0,0,0,0,0,16,0,349,254,44,295,284,46,84,62,15,108,98,0,35,013,001500,2019
"Census Tract 17.05, Doña Ana County, New Mexico",0,0,4,0,0,0,0,0,0,0,4,6,0,19,0,0,145,29,24,92,43,47,35,013,001705,2019
"Census Tract 1.02, Doña Ana County, New Mexico",0,16,0,0,0,12,0,0,0,0,60,59,36,98,101,46,67,30,6,76,140,16,35,013,000102,2019
"Census Tract 1.03, Doña Ana County, New Mexico",0,33,0,0,0,8,0,0,0,0,95,77,0,68,73,9,21,16,18,62,48,0,35,013,000103,2019
"Census Tract 12.03, Doña Ana County, New Mexico",0,0,0,0,0,0,0,21,0,0,173,46,15,141,150,51,15,23,0,15,28,17,35,013,001203,2019
"Census Tract 12.05, Doña Ana County, New Mexico",0,13,0,0,0,0,0,7,0,0,174,200,69,210,244,191,20,3,20,36,25,26,35,013,001205,2019
"Census Tract 1.04, Doña Ana County, New Mexico",0,7,0,0,13,0,0,0,0,0,147,82,15,137,113,44,104,37,14,143,26,23,35,013,000104,2019
"Census Tract 4.02, Doña Ana County, New Mexico",0,0,0,0,0,0,0,0,0,0,33,51,24,117,81,0,133,31,81,172,97,15,35,013,000402,2019
"Census Tract 6, Lea County, New Mexico",21,0,18,0,0,0,0,0,0,0,54,84,38,222,88,69,29,24,23,63,178,5,35,025,000600,2019
"Census Tract 9, Lea County, New Mexico",0,0,0,0,0,0,0,0,0,0,58,27,28,44,34,0,42,49,14,40,17,17,35,025,000900,2019
