NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 7.20, Bernalillo County, New Mexico",496,103,0,0,0,11,46,7,39,542,103,0,39,0,18,222,434,650,0,11,35,001,000720,1,2020
"Block Group 1, Census Tract 9.04, Bernalillo County, New Mexico",1101,22,149,31,8,245,220,135,85,1321,99,157,31,8,380,1183,593,1317,0,7,35,001,000904,1,2020
"Block Group 1, Census Tract 9.06, Bernalillo County, New Mexico",630,111,304,0,0,131,294,294,0,924,111,304,0,0,425,513,957,1005,28,27,35,001,000906,1,2020
"Block Group 1, Census Tract 9.07, Bernalillo County, New Mexico",659,0,77,0,0,115,87,29,58,746,0,135,0,0,144,615,323,840,0,17,35,001,000907,1,2020
"Block Group 1, Census Tract 9.08, Bernalillo County, New Mexico",463,53,93,0,0,255,77,9,68,540,121,93,0,0,264,744,197,476,0,0,35,001,000908,1,2020
"Block Group 1, Census Tract 12.02, Bernalillo County, New Mexico",536,94,0,0,0,268,23,0,23,559,94,0,23,0,268,734,187,749,12,0,35,001,001202,1,2020
"Block Group 2, Census Tract 13, Bernalillo County, New Mexico",502,30,18,0,0,311,319,70,249,821,30,30,237,0,381,727,453,973,57,0,35,001,001300,2,2020
"Block Group 1, Census Tract 14, Bernalillo County, New Mexico",771,0,20,0,0,294,44,44,0,815,0,20,0,0,338,959,170,973,1,28,35,001,001400,1,2020
"Block Group 2, Census Tract 15, Bernalillo County, New Mexico",1231,67,21,0,0,151,194,193,1,1415,67,32,0,0,345,1214,450,1285,0,0,35,001,001500,2,2020
"Block Group 1, Census Tract 21, Bernalillo County, New Mexico",793,79,198,6,0,271,165,114,51,947,96,238,11,0,385,834,678,1411,0,0,35,001,002100,1,2020
"Block Group 3, Census Tract 22, Bernalillo County, New Mexico",654,14,19,55,0,0,121,70,51,775,22,62,55,0,70,180,683,745,8,8,35,001,002200,3,2020
"Block Group 1, Census Tract 23.02, Bernalillo County, New Mexico",686,0,6,0,0,1101,0,0,0,686,0,6,0,0,1101,1514,279,1660,0,0,35,001,002302,1,2020
"Block Group 2, Census Tract 23.03, Bernalillo County, New Mexico",941,0,0,0,0,356,7,7,0,948,0,0,0,0,363,1046,258,1099,0,0,35,001,002303,2,2020
"Block Group 1, Census Tract 24.03, Bernalillo County, New Mexico",444,0,0,0,0,382,109,6,103,553,103,0,0,0,388,829,106,761,0,1,35,001,002403,1,2020
"Block Group 1, Census Tract 24.04, Bernalillo County, New Mexico",609,5,168,0,0,669,62,62,0,671,5,168,0,0,731,1293,220,1008,0,0,35,001,002404,1,2020
"Block Group 1, Census Tract 27, Bernalillo County, New Mexico",1510,28,202,0,0,100,74,38,36,1584,39,227,8,0,146,1216,698,1523,50,89,35,001,002700,1,2020
"Block Group 2, Census Tract 29, Bernalillo County, New Mexico",604,3,121,0,0,131,475,475,0,1079,3,121,0,0,606,1037,297,1133,0,0,35,001,002900,2,2020
