NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 11.05, Santa Fe County, New Mexico",0,17,0,1,8,0,0,0,0,0,74,0,0,175,17,20,33,28,10,44,22,22,35,049,001105,2016
"Census Tract 101.02, Santa Fe County, New Mexico",0,75,8,0,0,5,0,8,6,0,65,12,8,38,21,0,125,134,8,239,48,16,35,049,010102,2016
"Census Tract 103.08, Santa Fe County, New Mexico",0,13,0,0,6,0,0,11,0,0,33,15,0,39,12,11,67,19,0,79,9,4,35,049,010308,2016
"Census Tract 107, Santa Fe County, New Mexico",0,0,3,7,0,0,0,0,0,0,554,104,69,550,122,38,45,13,0,130,14,7,35,049,010700,2016
"Census Tract 108, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,142,123,0,177,32,17,29,8,9,0,32,0,35,049,010800,2016
"Census Tract 5, Santa Fe County, New Mexico",0,7,0,0,9,0,0,1,0,0,208,87,60,210,100,38,32,19,0,53,9,17,35,049,000500,2016
"Census Tract 12.03, Santa Fe County, New Mexico",0,0,0,0,0,0,0,7,0,0,37,6,0,42,26,0,50,5,10,22,15,9,35,049,001203,2016
"Census Tract 105, Santa Fe County, New Mexico",0,6,0,0,0,0,0,6,0,0,242,55,16,227,42,8,31,11,8,31,38,20,35,049,010500,2016
"Census Tract 40.01, Bernalillo County, New Mexico",0,27,6,0,0,0,0,0,0,0,34,0,0,47,13,0,200,56,45,114,47,12,35,001,004001,2016
"Census Tract 47.23, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,185,115,0,133,67,25,64,40,12,81,45,25,35,001,004723,2016
"Census Tract 1.08, Bernalillo County, New Mexico",0,0,0,0,16,0,0,0,0,0,75,64,3,120,108,36,28,20,13,10,18,12,35,001,000108,2016
"Census Tract 1.10, Bernalillo County, New Mexico",0,8,12,0,0,0,0,0,0,0,169,53,35,103,99,42,6,7,0,21,19,21,35,001,000110,2016
"Census Tract 1.25, Bernalillo County, New Mexico",0,9,0,0,0,10,0,0,9,0,152,113,17,199,187,31,62,18,8,35,25,7,35,001,000125,2016
"Census Tract 22, Bernalillo County, New Mexico",0,48,19,10,10,0,0,0,0,0,77,58,10,135,44,7,104,46,0,82,32,10,35,001,002200,2016
"Census Tract 1.27, Bernalillo County, New Mexico",12,6,10,0,0,0,0,0,0,0,70,48,9,119,70,43,32,0,12,25,30,14,35,001,000127,2016
"Census Tract 6.01, Bernalillo County, New Mexico",0,42,0,0,0,0,0,0,0,0,148,78,47,106,119,43,40,57,0,80,18,36,35,001,000601,2016
"Census Tract 17, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,131,43,0,142,49,15,74,0,0,29,13,0,35,001,001700,2016
"Census Tract 7.11, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,12,2,276,63,9,259,80,45,0,0,10,0,12,11,35,001,000711,2016
"Census Tract 9.01, Bernalillo County, New Mexico",0,24,54,0,0,0,0,0,0,0,69,14,0,25,13,13,22,17,0,76,79,0,35,001,000901,2016
"Census Tract 24.01, Bernalillo County, New Mexico",0,9,41,15,0,8,0,33,0,0,33,17,18,15,26,9,138,92,9,144,166,64,35,001,002401,2016
"Census Tract 25, Bernalillo County, New Mexico",0,20,23,7,0,10,0,0,0,0,45,0,0,76,35,0,25,61,0,65,64,16,35,001,002500,2016
"Census Tract 30.02, Bernalillo County, New Mexico",0,0,26,6,0,0,0,0,10,0,143,72,11,210,80,20,66,105,17,101,119,31,35,001,003002,2016
"Census Tract 35.01, Bernalillo County, New Mexico",0,23,10,29,0,0,0,0,0,0,98,33,10,148,80,0,80,56,67,158,109,26,35,001,003501,2016
"Census Tract 37.17, Bernalillo County, New Mexico",0,0,0,64,0,0,0,0,14,0,143,132,53,239,193,75,60,0,15,38,41,64,35,001,003717,2016
"Census Tract 37.22, Bernalillo County, New Mexico",0,12,0,0,14,0,0,0,0,0,89,31,26,103,38,13,82,26,13,38,0,11,35,001,003722,2016
"Census Tract 38.04, Bernalillo County, New Mexico",0,0,0,0,0,0,0,18,0,0,318,123,69,220,68,56,39,2,0,29,12,0,35,001,003804,2016
"Census Tract 47.25, Bernalillo County, New Mexico",0,9,0,0,0,0,0,0,0,0,58,10,10,69,89,49,14,22,0,34,44,0,35,001,004725,2016
"Census Tract 37.28, Bernalillo County, New Mexico",3,11,12,0,11,0,0,0,0,0,134,72,5,226,179,144,43,43,3,29,46,0,35,001,003728,2016
"Census Tract 37.33, Bernalillo County, New Mexico",0,16,16,8,0,0,0,13,0,0,11,19,8,7,47,35,0,0,0,45,16,8,35,001,003733,2016
"Census Tract 38.07, Bernalillo County, New Mexico",0,0,0,0,0,0,0,15,0,0,209,59,8,202,60,2,43,23,22,68,21,16,35,001,003807,2016
"Census Tract 45.01, Bernalillo County, New Mexico",14,31,26,0,0,0,0,16,0,0,25,0,0,47,23,15,74,35,14,119,62,49,35,001,004501,2016
"Census Tract 47.13, Bernalillo County, New Mexico",0,32,0,0,0,0,0,0,13,10,42,62,0,21,35,9,114,35,0,108,51,27,35,001,004713,2016
"Census Tract 1.09, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,104,106,8,120,69,33,17,13,6,11,7,8,35,001,000109,2016
"Census Tract 1.11, Bernalillo County, New Mexico",0,0,0,0,0,0,0,22,0,0,97,110,0,119,50,25,11,18,0,8,38,0,35,001,000111,2016
"Census Tract 1.14, Bernalillo County, New Mexico",0,9,9,0,19,5,0,14,0,0,108,38,9,48,78,16,34,30,0,63,47,0,35,001,000114,2016
"Census Tract 38.03, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,187,69,17,226,84,72,8,11,0,15,5,0,35,001,003803,2016
"Census Tract 31, Bernalillo County, New Mexico",0,9,21,0,0,0,0,0,0,0,126,43,6,136,56,21,32,96,0,45,88,7,35,001,003100,2016
"Census Tract 35.02, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,462,32,49,402,52,88,165,0,0,98,117,16,35,001,003502,2016
"Census Tract 36, Bernalillo County, New Mexico",0,12,38,0,0,0,0,0,0,11,263,69,39,273,196,26,243,31,0,118,96,13,35,001,003600,2016
"Census Tract 38.05, Bernalillo County, New Mexico",0,0,13,0,0,0,0,0,0,0,117,59,0,125,58,19,29,32,18,34,23,0,35,001,003805,2016
"Census Tract 44.02, Bernalillo County, New Mexico",0,8,0,0,0,0,0,0,0,0,42,27,8,47,32,0,136,80,21,88,54,20,35,001,004402,2016
"Census Tract 46.04, Bernalillo County, New Mexico",0,94,39,0,15,0,0,24,0,0,32,29,21,89,68,67,116,12,43,169,85,1,35,001,004604,2016
"Census Tract 47.20, Bernalillo County, New Mexico",0,0,15,0,0,0,0,14,0,0,99,86,24,104,123,56,63,0,0,21,28,24,35,001,004720,2016
"Census Tract 12.01, Doña Ana County, New Mexico",0,0,0,0,0,55,0,0,0,0,516,416,132,668,227,239,123,179,5,178,169,5,35,013,001201,2016
"Census Tract 13.03, Doña Ana County, New Mexico",0,0,0,0,0,0,0,0,0,0,227,158,17,221,200,47,109,70,0,80,73,21,35,013,001303,2016
"Census Tract 38.06, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,251,62,0,265,46,0,67,10,0,51,4,0,35,001,003806,2016
"Census Tract 43, Bernalillo County, New Mexico",0,56,24,0,0,0,0,18,0,0,103,12,7,68,33,12,144,49,0,148,72,33,35,001,004300,2016
"Census Tract 47.26, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,81,5,9,50,14,0,15,0,0,16,0,0,35,001,004726,2016
"Census Tract 47.28, Bernalillo County, New Mexico",0,0,31,0,0,14,14,18,0,0,102,18,0,174,39,24,19,62,14,34,101,0,35,001,004728,2016
"Census Tract 32.01, Bernalillo County, New Mexico",0,45,0,0,0,0,0,0,0,0,78,11,0,58,14,7,56,30,6,112,53,10,35,001,003201,2016
"Census Tract 1.17, Bernalillo County, New Mexico",0,18,0,0,0,0,0,0,0,0,89,28,12,92,54,32,12,19,3,59,29,4,35,001,000117,2016
"Census Tract 1.13, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,85,46,0,112,50,0,45,11,0,18,16,0,35,001,000113,2016
"Census Tract 7.10, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,341,247,26,373,257,196,86,0,44,93,18,0,35,001,000710,2016
"Census Tract 37.31, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,115,90,25,124,86,17,24,0,0,22,13,0,35,001,003731,2016
"Census Tract 47.17, Bernalillo County, New Mexico",0,0,0,0,13,0,0,0,0,0,47,39,0,121,48,14,65,24,0,107,0,0,35,001,004717,2016
"Census Tract 1.16, Bernalillo County, New Mexico",0,4,0,0,0,0,6,0,0,0,104,127,19,151,116,40,31,4,0,24,19,0,35,001,000116,2016
"Census Tract 1.18, Bernalillo County, New Mexico",0,0,0,0,0,0,0,5,0,0,131,67,22,73,81,27,9,11,0,16,5,0,35,001,000118,2016
"Census Tract 15, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,10,4,0,24,16,6,9,56,8,42,7,12,35,001,001500,2016
"Census Tract 37.26, Bernalillo County, New Mexico",0,6,0,11,0,0,0,0,0,0,141,56,26,155,85,59,32,0,0,15,7,11,35,001,003726,2016
"Census Tract 47.15, Bernalillo County, New Mexico",0,13,0,0,12,0,0,0,0,0,36,21,0,30,12,7,88,30,35,162,66,0,35,001,004715,2016
"Census Tract 47.45, Bernalillo County, New Mexico",4,0,0,4,0,0,0,4,0,0,81,82,47,102,100,61,40,26,4,66,10,4,35,001,004745,2016
"Census Tract 47.46, Bernalillo County, New Mexico",0,0,38,0,0,0,0,0,0,0,86,54,0,45,82,0,20,68,0,46,58,27,35,001,004746,2016
"Census Tract 47.47, Bernalillo County, New Mexico",0,0,0,0,14,0,0,0,0,0,131,90,9,147,78,30,18,40,0,99,18,0,35,001,004747,2016
"Census Tract 47.48, Bernalillo County, New Mexico",0,16,0,0,0,0,0,0,0,0,193,68,0,93,113,39,54,0,48,34,23,44,35,001,004748,2016
"Census Tract 47.49, Bernalillo County, New Mexico",0,26,14,12,0,0,0,12,0,0,24,36,8,97,32,40,35,29,4,15,33,12,35,001,004749,2016
"Census Tract 47.50, Bernalillo County, New Mexico",0,0,0,0,0,17,0,0,16,0,71,38,0,68,58,16,80,106,18,114,65,0,35,001,004750,2016
"Census Tract 47.51, Bernalillo County, New Mexico",0,0,0,0,9,0,0,0,0,0,67,25,13,67,29,0,44,0,0,6,20,0,35,001,004751,2016
"Census Tract 47.52, Bernalillo County, New Mexico",0,8,16,0,8,0,0,14,0,9,43,58,10,88,37,25,22,48,0,35,66,9,35,001,004752,2016
"Census Tract 47.53, Bernalillo County, New Mexico",0,9,9,0,0,0,0,9,0,0,120,22,10,100,21,21,19,0,11,28,58,0,35,001,004753,2016
"Census Tract 9405, Bernalillo County, New Mexico",0,0,2,0,0,0,0,4,0,0,267,173,70,296,156,56,4,0,0,16,2,0,35,001,940500,2016
"Census Tract 9406, Bernalillo County, New Mexico",0,66,0,0,0,0,0,0,0,0,64,0,0,89,21,0,95,42,0,154,70,0,35,001,940600,2016
"Census Tract 9407, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,5,0,0,0,6,35,001,940700,2016
