NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 4, Census Tract 11.07, Santa Fe County, New Mexico",839,0,41,19,0,30,36,26,10,865,0,51,29,0,56,421,544,889,0,9,35,049,001107,4,2019
"Block Group 2, Census Tract 5, Santa Fe County, New Mexico",729,0,0,38,0,0,11,0,11,740,0,11,38,0,0,113,665,737,20,10,35,049,000500,2,2019
"Block Group 2, Census Tract 107.23, Sandoval County, New Mexico",2742,0,81,0,0,612,109,109,0,2775,0,157,0,0,721,1863,1681,2107,0,12,35,043,010723,2,2019
"Block Group 1, Census Tract 13.02, Santa Fe County, New Mexico",337,0,0,0,0,34,0,0,0,337,0,0,0,0,34,363,8,220,0,0,35,049,001302,1,2019
"Block Group 2, Census Tract 103.12, Santa Fe County, New Mexico",1965,0,20,23,0,531,59,0,59,2024,0,65,23,14,531,990,1608,1804,0,0,35,049,010312,2,2019
"Block Group 1, Census Tract 103.11, Santa Fe County, New Mexico",3227,11,0,0,0,96,138,0,138,3365,11,79,59,0,96,720,2752,2725,0,48,35,049,010311,1,2019
"Block Group 2, Census Tract 103.11, Santa Fe County, New Mexico",867,0,16,0,0,86,59,0,59,926,0,75,0,0,86,147,881,827,0,14,35,049,010311,2,2019
"Block Group 4, Census Tract 107.16, Sandoval County, New Mexico",1452,49,172,48,0,409,24,0,24,1476,73,172,48,0,409,1030,1124,1851,53,44,35,043,010716,4,2019
"Block Group 2, Census Tract 107.16, Sandoval County, New Mexico",890,0,123,0,0,24,28,0,28,918,0,151,0,0,24,475,590,695,0,14,35,043,010716,2,2019
"Block Group 1, Census Tract 14, Bernalillo County, New Mexico",282,0,0,0,0,42,34,0,34,316,0,34,0,0,42,350,8,250,0,9,35,001,001400,1,2019
"Block Group 4, Census Tract 14, Bernalillo County, New Mexico",378,142,8,0,0,176,0,0,0,378,142,8,0,0,176,352,352,685,0,7,35,001,001400,4,2019
"Block Group 2, Census Tract 14, Bernalillo County, New Mexico",505,0,29,0,0,375,32,32,0,505,0,29,32,0,407,790,151,709,0,12,35,001,001400,2,2019
"Block Group 2, Census Tract 17.03, Doña Ana County, New Mexico",1480,0,0,0,0,70,0,0,0,1480,0,0,0,0,70,1066,484,1285,13,0,35,013,001703,2,2019
"Block Group 2, Census Tract 17.05, Doña Ana County, New Mexico",1787,7,0,0,0,171,0,0,0,1787,7,0,0,0,171,1912,53,1597,24,47,35,013,001705,2,2019
"Block Group 1, Census Tract 7.11, Bernalillo County, New Mexico",2162,51,132,101,0,8,76,24,52,2238,75,160,101,0,32,514,2016,1920,9,27,35,001,000711,1,2019
"Block Group 2, Census Tract 7.11, Bernalillo County, New Mexico",1095,34,15,14,0,0,118,69,49,1213,35,15,62,0,69,395,881,1086,9,1,35,001,000711,2,2019
"Block Group 5, Census Tract 9.01, Bernalillo County, New Mexico",585,35,0,0,0,171,17,0,17,602,35,17,0,0,171,718,90,658,0,0,35,001,000901,5,2019
"Block Group 2, Census Tract 9.01, Bernalillo County, New Mexico",528,0,0,0,0,217,0,0,0,528,0,0,0,0,217,561,184,654,0,0,35,001,000901,2,2019
"Block Group 6, Census Tract 9.01, Bernalillo County, New Mexico",457,0,19,14,0,69,144,0,144,601,144,19,14,0,69,356,347,421,0,0,35,001,000901,6,2019
"Block Group 1, Census Tract 9.01, Bernalillo County, New Mexico",831,0,113,0,0,53,95,11,84,926,0,197,0,0,64,627,465,1003,0,37,35,001,000901,1,2019
"Block Group 7, Census Tract 9.01, Bernalillo County, New Mexico",1003,183,65,0,0,291,0,0,0,1003,183,65,0,0,291,1170,372,1004,0,0,35,001,000901,7,2019
"Block Group 4, Census Tract 9.01, Bernalillo County, New Mexico",906,74,202,13,0,18,43,31,12,918,117,202,13,0,49,893,363,886,0,0,35,001,000901,4,2019
"Block Group 3, Census Tract 9.01, Bernalillo County, New Mexico",481,47,285,0,0,133,76,19,57,557,104,285,0,0,152,630,392,628,0,0,35,001,000901,3,2019
"Block Group 3, Census Tract 24.01, Bernalillo County, New Mexico",1286,0,89,0,0,443,75,45,30,1361,2,119,0,0,488,1439,454,1742,17,71,35,001,002401,3,2019
"Block Group 1, Census Tract 24.01, Bernalillo County, New Mexico",1338,8,0,0,0,428,169,117,52,1492,46,52,9,0,545,1576,367,1389,10,9,35,001,002401,1,2019
"Block Group 2, Census Tract 24.01, Bernalillo County, New Mexico",741,36,0,0,0,238,0,0,0,741,36,0,0,0,238,880,135,781,0,17,35,001,002401,2,2019
"Block Group 3, Census Tract 9742.02, Cibola County, New Mexico",728,4,246,0,0,57,23,0,23,751,4,269,0,0,63,408,650,889,0,0,35,006,974202,3,2019
"Block Group 1, Census Tract 9742.02, Cibola County, New Mexico",223,0,262,0,0,83,29,14,15,246,0,283,0,0,97,129,468,446,0,0,35,006,974202,1,2019
"Block Group 2, Census Tract 9742.02, Cibola County, New Mexico",802,0,35,10,0,70,27,10,17,829,0,52,10,0,80,495,449,688,11,10,35,006,974202,2,2019
